Symbol
FIS
PPL
INTC
PLD
STLD
MHK
AJG
LEN
NOW
WELL
WBA
AKAM
AEP
UNP
F
IQV
MAS
COR
AMZN
TSN
ETSY
EXR
RJF
PFE
KHC
DAY
DGX
YUM
ARE
CDW
HAL
CB
ARM
AEE
VLO
PCG
TTD
GLW
TEAM
UBER
ED
EMR
OKE
PNC
MCK
MU
TJX
VRTX
FE
IP
ORCL
GPC
MGM
MPWR
FAST
GEV
GPN
SBAC
GE
VRSK
GOOGL
KKR
EXC
VICI
FOX
DD
DVN
HIG
SHW
PKG
HCA
IT
WRB
GM
GNRC
CPAY
EQIX
AMD
J
BK
LUV
CTVA
ADSK
CF
KO
GD
SMCI
WST
NKE
SOLV
CPRT
WMB
INTU
ODFL
MCD
TER
TAP
KVUE
ICE
NFLX
DUK
FCX
MA
WFC
TFX
KR
SYY
TXN
PEG
ILMN
USB
VST
CDNS
ROP
LULU
RTX
CSGP
BRO
GRMN
BIO
KEY
VTRS
REGN
PGR
PM
DTE
KMI
NCLH
AOS
MDLZ
BKNG
INVH
LOW
GDDY
CI
C
RSG
BALL
MELI
GOOG
FTV
CINF
MSFT
TEL
ALL
LNT
PSX
ITW
DFS
VLTO
A
ZTS
PHM
DIS
MRK
PAYC
SRE
CNC
CVX
AZN
CAT
CCL
T
URI
ZBRA
DAL
STE
XYL
EA
EXPE
ABNB
ALB
TXT
VRSN
IPG
WAB
EXPD
JKHY
LW
HST
HUM
ORLY
GS
UHS
CTAS
BAX
FSLR
MOS
CLX
PYPL
PSA
AIG
BR
LKQ
BA
VZ
CHD
POOL
NTAP
SPGI
JNPR
DG
KEYS
ROL
EMN
HON
JPM
EIX
TMO
DLR
SNA
UPS
MPC
COF
AON
ASML
GWW
STT
PTC
FITB
NVR
CRWD
MLM
TFC
REG
MRVL
MOH
QRVO
TPR
UNH
KDP
NRG
NEM
AVY
MAR
EW
NWS
HUBB
PCAR
EG
XEL
HRL
LH
WYNN
BX
NI
K
SCHW
EOG
SNPS
FDS
TRV
COP
DXCM
TYL
FICO
ANET
LIN
AMT
AES
HSY
AWK
MCO
FMC
HWM
WDC
COST
MTCH
HES
TT
FTNT
AVB
INCY
WAT
ANSS
NWSA
CME
CTSH
QCOM
TMUS
VMC
HD
ALLE
AMGN
GEHC
ADM
ADP
MAA
LYV
BG
NSC
BMY
NTRS
ISRG
LVS
AMCR
ECL
ELV
ADBE
ENPH
HAS
XOM
PNR
BBY
CPT
RF
PRU
PG
SYK
DHR
MDT
HPQ
ABBV
SWK
CPB
MDB
EVRG
WM
MKC
TRMB
UAL
SBUX
TSLA
PDD
BIIB
ATO
FFIV
TTWO
FI
WY
WBD
ROST
CMG
AIZ
ULTA
BDX
DHI
MS
SWKS
BWA
MET
CHRW
DVA
NDAQ
AXON
IFF
HPE
MRO
CL
ZS
CMI
ZBH
AME
LRCX
PH
COO
FDX
DLTR
RMD
WDAY
OMC
CRL
DOW
TSCO
ACGL
CAG
CEG
MKTX
SW
AAPL
DE
EFX
FRT
HBAN
L
BKR
SLB
D
LLY
ABT
MMM
PWR
NVDA
AVGO
PANW
NXPI
SYF
NDSN
TROW
CE
BLK
FOXA
AZO
ETN
BRK.B
PAYX
APH
GILD
UDR
AAL
OTIS
ON
RVTY
MNST
PPG
MRNA
ES
APD
EL
CMS
LMT
CTRA
CCEP
DPZ
ETR
META
MSCI
OXY
CCI
JNJ
CVS
TECH
IRM
PARA
PEP
MMC
LDOS
KLAC
VTR
CMCSA
DOC
BAC
CHTR
CNP
CRM
LYB
STZ
DRI
RL
SO
ADI
FANG
BLDR
DOV
TDG
IDXX
BF.B
IR
JCI
PODD
GEN
HOLX
LHX
IEX
IBM
ESS
MCHP
BSX
CZR
CBRE
HSIC
KMB
AXP
CSCO
EPAM
GFS
BBWI
PNW
ROK
TDY
EQR
JBL
CSX
SPG
CARR
CFG
HLT
SJM
GIS
HII
PFG
TRGP
AMAT
NEE
APTV
DASH
MSI
WTW
JBHT
MTD
CAH
CBOE
AFL
STX
ACN
KIM
CTLT
KMX
V
NUE
EBAY
NOC
WEC
TGT
MTB
AMP
EQT
DDOG
O
MO
APA
WMT
ALGN
BEN
RCL
GL
DECK
BXP
IVZ
